run,arm,vk_experts,tok_s,hit_total,pin,lru,vk,vram_peak_mb,experts_resident,tier_gb,tier_load_s,model_load_s,prefill_s,decode_s,rss_gb,edisk_service_s,edisk_wait_s,ematmul_s,read_gb,read_MBps_decode
1,base,320,0.33,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,9.81,40.07,121.78,40.43,151.215,57.299,21.976,236.78,1991.0
2,uring,320,0.26,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,9.60,50.43,154.67,40.39,0.000,58.480,91.573,236.34,1564.7
3,direct,320,0.40,54.9,10.7,16.7,27.5,6724,320,6.04,1.9,9.83,39.18,100.20,40.26,113.957,41.457,19.828,194.66,1989.4
4,uringd,320,0.44,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,9.78,35.15,90.50,40.35,0.000,26.428,49.304,196.37,2221.9
5,base,320,0.33,54.9,10.7,16.7,27.5,6724,320,6.04,1.9,9.64,36.31,120.52,40.23,151.971,57.429,21.867,235.41,2000.1
6,uring,320,0.28,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,9.74,48.22,141.02,40.39,0.000,59.116,86.912,236.78,1719.3
7,direct,320,0.42,54.9,10.7,16.7,27.5,6724,320,6.04,1.9,9.55,32.53,94.86,40.26,113.986,41.159,18.393,194.68,2101.6
8,uringd,320,0.44,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,9.77,35.62,90.04,40.41,0.000,25.578,49.839,196.11,2230.3
9,base,320,0.33,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,10.04,36.60,121.39,40.29,151.650,57.234,21.616,236.10,1991.6
10,uring,320,0.30,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,9.85,48.86,132.43,40.33,0.000,58.972,83.115,236.12,1825.8
11,direct,320,0.32,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,9.74,34.18,125.63,40.41,115.306,43.040,26.855,194.36,1584.2
1,base,320,0.31,54.8,10.6,16.7,27.5,6724,320,6.04,1.9,7.25,35.72,128.53,40.09,152.561,57.881,23.111,217.53,1733.1
2,uring,320,0.27,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,9.69,48.84,147.88,40.37,0.000,58.378,89.483,236.36,1636.6
3,direct,320,0.33,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,9.78,35.95,121.66,40.37,115.363,42.704,26.593,194.76,1639.3
4,uringd,320,0.40,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,10.31,35.25,98.89,40.39,0.000,25.779,52.446,196.87,2038.6
5,base,320,0.32,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,9.79,39.35,124.16,40.39,152.177,57.635,21.940,235.73,1944.1
6,uring,320,0.29,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,9.61,47.48,138.28,40.35,0.000,58.560,85.193,236.59,1752.0
7,direct,320,0.42,54.9,10.7,16.7,27.5,6724,320,6.04,1.9,9.68,34.53,94.70,40.20,114.065,41.220,17.855,194.79,2106.3
8,uringd,320,0.41,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,9.58,36.19,97.37,40.35,0.000,25.639,51.494,196.59,2067.4
9,base,320,0.30,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,9.63,52.68,134.96,40.35,152.831,58.437,26.288,235.59,1787.5
10,uring,320,0.28,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,9.75,49.36,141.85,40.31,0.000,58.882,86.132,236.34,1706.1
11,direct,320,0.39,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,9.76,33.85,102.60,40.30,114.277,41.679,20.808,194.59,1942.1
12,uringd,320,0.43,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,9.65,37.23,93.93,40.39,0.000,25.703,50.599,196.51,2142.3
