run,arm,vk_experts,tok_s,hit_total,pin,lru,vk,vram_peak_mb,experts_resident,tier_gb,tier_load_s,model_load_s,prefill_s,decode_s,rss_gb,edisk_service_s,edisk_wait_s,ematmul_s,read_gb,read_MBps_decode
1,base,320,0.33,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,10.71,38.21,119.72,40.29,151.362,57.168,21.118,236.06,2019.1
2,uring,320,0.29,54.9,10.7,16.7,27.5,6724,320,6.04,1.9,9.67,52.15,139.21,40.27,0.000,59.348,86.263,236.85,1742.2
3,direct,320,0.40,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,9.53,31.45,101.17,40.30,114.706,41.687,19.883,195.13,1975.0
4,uringd,320,0.45,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,9.70,34.40,89.57,40.33,0.000,26.089,48.597,196.87,2250.8
5,base,320,0.33,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,9.54,35.09,119.47,40.37,151.249,57.121,20.852,235.99,2022.7
6,uring,320,0.30,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,9.56,48.11,135.36,40.29,0.000,60.197,86.096,236.01,1785.4
7,direct,320,0.42,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,9.56,32.64,95.75,40.39,113.973,41.159,18.511,194.93,2084.7
8,uringd,320,0.47,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,9.76,35.72,85.22,40.35,0.000,26.944,47.024,196.87,2365.6
9,base,320,0.34,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,9.58,36.48,118.08,40.39,151.222,57.189,20.599,236.00,2046.6
10,uring,320,0.28,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,9.50,51.18,144.74,40.31,0.000,58.340,88.594,236.57,1673.7
11,direct,320,0.42,54.9,10.7,16.7,27.5,6724,320,6.04,1.9,9.65,34.93,94.99,40.24,114.155,41.191,18.451,195.18,2104.1
12,uringd,320,0.45,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,9.54,34.24,87.97,40.33,0.000,26.942,48.388,196.84,2291.3
13,base,320,0.31,54.9,10.7,16.7,27.5,6724,320,6.04,1.9,9.70,35.22,126.99,40.15,151.992,57.505,23.187,236.18,1904.5
14,uring,320,0.28,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,9.61,47.63,141.35,40.39,0.000,58.706,87.300,236.34,1712.1
15,direct,320,0.42,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,9.58,30.97,96.33,40.30,114.060,41.312,18.545,194.97,2072.5
16,uringd,320,0.42,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,9.81,33.28,96.28,40.31,0.000,25.813,51.665,196.27,2087.5
17,base,320,0.33,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,9.80,37.12,120.38,40.41,151.252,57.308,21.460,235.44,2002.7
18,uring,320,0.29,54.9,10.8,16.7,27.5,6724,320,6.04,1.9,9.60,48.59,139.90,40.33,0.000,59.151,86.619,235.93,1726.9
19,direct,320,0.35,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,9.74,37.92,113.08,40.37,114.772,42.110,23.783,195.18,1767.5
20,uringd,320,0.35,55.0,10.9,16.6,27.5,6724,320,6.04,1.9,9.68,34.38,113.73,40.37,0.000,24.320,57.904,196.18,1766.4
