phase,run,arm,backend,budget,draft,cap,tok_s,hit_total,pin,lru,vk,vram_peak_mb,experts_resident,tier_gb,model_load_s,prefill_s,decode_s,rss_gb,fw_per_tok,mtp_acc,ereq_tok
1,1,VK6,vk,320,0,320,0.39,54.7,11.1,19.4,24.3,6724,320,6.04,9.75,31.52,101.94,42.49,1.03,0,330.1
1,2,HIP6,hip,6,0,320,0.31,57.3,39.9,17.3,NA,6215,282,5.99,9.34,34.28,128.47,42.63,1.03,0,330.1
1,3,VK12,vk,640,0,320,0.39,54.6,2.2,19.4,33.0,13124,640,12.08,9.59,31.56,102.68,42.41,1.03,0,330.1
1,4,HIP12,hip,12,0,320,0.33,59.8,44.4,15.4,NA,12160,565,12.00,9.87,32.77,120.57,42.62,1.03,0,330.1
1,5,VK6,vk,320,0,320,0.39,54.7,11.0,19.4,24.3,6724,320,6.04,9.57,31.46,102.23,42.43,1.03,0,330.1
1,6,HIP6,hip,6,0,320,0.32,57.3,39.9,17.3,NA,6215,282,5.99,9.34,32.96,125.21,42.63,1.03,0,330.1
1,7,VK12,vk,640,0,320,0.39,54.6,2.2,19.4,33.0,13124,640,12.08,10.42,31.71,101.74,42.41,1.03,0,330.1
1,8,HIP12,hip,12,0,320,0.24,59.8,44.4,15.4,NA,12160,565,12.00,9.84,31.77,166.04,42.61,1.03,0,330.1
1,9,VK6,vk,320,0,320,0.40,54.8,11.3,19.3,24.3,6724,320,6.04,9.72,31.90,100.75,42.58,1.03,0,330.1
1,10,HIP6,hip,6,0,320,0.32,57.3,40.0,17.3,NA,6215,282,5.99,9.54,32.92,123.85,42.82,1.03,0,330.1
1,11,VK12,vk,640,0,320,0.40,54.7,2.3,19.4,33.0,13124,640,12.08,9.76,31.01,100.28,42.49,1.03,0,330.1
1,12,HIP12,hip,12,0,320,0.34,60.0,44.7,15.3,NA,12160,565,12.00,9.48,31.52,119.02,42.83,1.03,0,330.1
1,13,VK6,vk,320,0,320,0.40,54.8,11.3,19.3,24.3,6724,320,6.04,9.67,31.09,100.76,42.56,1.03,0,330.1
1,14,HIP6,hip,6,0,320,0.32,57.3,40.0,17.3,NA,6214,282,5.99,9.61,33.20,124.16,42.80,1.03,0,330.1
1,15,VK12,vk,640,0,320,0.40,54.6,2.2,19.4,33.0,13124,640,12.08,9.87,31.53,101.04,42.41,1.03,0,330.1
1,16,HIP12,hip,12,0,320,0.33,60.0,44.7,15.3,NA,12160,565,12.00,9.48,31.99,120.12,42.79,1.03,0,330.1
1,17,VK6,vk,320,0,320,0.40,54.7,11.1,19.3,24.3,6724,320,6.04,9.69,31.26,100.76,42.53,1.03,0,330.1
1,18,HIP6,hip,6,0,320,0.32,57.3,40.0,17.3,NA,6215,282,5.99,9.86,32.76,126.36,42.79,1.03,0,330.1
1,19,VK12,vk,640,0,320,0.40,54.7,2.3,19.4,33.0,13124,640,12.08,9.67,31.18,100.66,42.47,1.03,0,330.1
1,20,HIP12,hip,12,0,320,0.33,60.0,44.7,15.3,NA,12160,565,12.00,9.55,32.11,119.65,42.79,1.03,0,330.1
1,21,VK6,vk,320,0,320,0.39,54.6,11.0,19.4,24.3,6724,320,6.04,9.85,31.13,101.35,42.41,1.03,0,330.1
1,22,HIP6,hip,6,0,320,0.32,57.3,40.0,17.3,NA,6215,282,5.99,9.84,33.14,124.59,42.77,1.03,0,330.1
1,23,VK12,vk,640,0,320,0.40,54.7,2.4,19.3,33.0,13124,640,12.08,9.88,31.20,100.60,42.53,1.03,0,330.1
1,24,HIP12,hip,12,0,320,0.34,60.0,44.7,15.3,NA,12160,565,12.00,9.57,32.84,119.10,42.79,1.03,0,330.1
1,25,VK6,vk,320,0,320,0.39,54.6,11.0,19.4,24.3,6724,320,6.04,9.60,31.15,101.74,42.35,1.03,0,330.1
1,26,HIP6,hip,6,0,320,0.32,57.3,40.0,17.3,NA,6215,282,5.99,9.96,33.07,126.29,42.75,1.03,0,330.1
1,27,VK12,vk,640,0,320,0.40,54.7,2.4,19.3,33.0,13124,640,12.08,9.68,31.15,101.05,42.53,1.03,0,330.1
1,28,HIP12,hip,12,0,320,0.34,60.0,44.7,15.3,NA,12160,565,12.00,9.58,32.36,117.89,42.81,1.03,0,330.1
1,29,VK6,vk,320,0,320,0.40,54.7,11.0,19.4,24.3,6724,320,6.04,9.80,30.98,100.79,42.47,1.03,0,330.1
1,30,HIP6,hip,6,0,320,0.32,57.3,40.0,17.3,NA,6215,282,5.99,9.83,32.81,125.63,42.81,1.03,0,330.1
1,31,VK12,vk,640,0,320,0.40,54.8,2.5,19.3,33.0,13124,640,12.08,9.67,31.23,100.58,42.58,1.03,0,330.1
1,32,HIP12,hip,12,0,320,0.34,59.9,44.5,15.4,NA,12160,565,12.00,9.54,32.16,119.06,42.73,1.03,0,330.1
1,33,VK6,vk,320,0,320,0.39,54.7,11.1,19.3,24.3,6724,320,6.04,9.91,31.41,101.46,42.52,1.03,0,330.1
1,34,HIP6,hip,6,0,320,0.32,57.3,40.0,17.3,NA,6215,282,5.99,9.56,32.79,124.09,42.79,1.03,0,330.1
1,35,VK12,vk,640,0,320,0.40,54.8,2.5,19.3,33.0,13124,640,12.08,9.59,31.75,99.82,42.59,1.03,0,330.1
1,36,HIP12,hip,12,0,320,0.33,60.0,44.7,15.3,NA,12160,565,12.00,9.52,31.61,119.84,42.81,1.03,0,330.1
1,37,VK6,vk,320,0,320,0.40,54.8,11.2,19.3,24.3,6724,320,6.04,9.66,31.15,99.98,42.55,1.03,0,330.1
1,38,HIP6,hip,6,0,320,0.32,57.3,40.0,17.3,NA,6215,282,5.99,9.45,32.85,124.80,42.81,1.03,0,330.1
1,39,VK12,vk,640,0,320,0.40,54.7,2.4,19.3,33.0,13124,640,12.08,9.66,31.28,100.15,42.53,1.03,0,330.1
1,40,HIP12,hip,12,0,320,0.33,60.0,44.7,15.3,NA,12160,565,12.00,9.50,31.77,119.73,42.81,1.03,0,330.1
2,1,VK12mtp,vk,640,3,320,0.23,39.6,2.0,17.7,19.9,13124,640,12.08,9.56,32.45,176.24,44.02,2.00,33,674.5
2,2,HIP12mtp,hip,12,3,320,0.17,46.4,30.7,15.7,NA,12160,565,12.00,9.50,33.48,230.49,45.79,2.00,33,674.2
2,3,VK12mtp,vk,640,3,320,0.25,39.9,2.4,17.6,19.9,13124,640,12.08,9.64,32.35,158.44,46.18,2.00,33,674.5
2,4,HIP12mtp,hip,12,3,320,0.17,46.5,30.8,15.7,NA,12160,565,12.00,10.02,33.81,229.10,45.59,2.00,33,674.2
2,5,VK12mtp,vk,640,3,320,0.20,40.1,2.6,17.5,19.9,13124,640,12.08,9.67,33.02,199.38,45.65,2.00,33,674.5
2,6,HIP12mtp,hip,12,3,320,0.18,46.4,30.8,15.7,NA,12160,565,12.00,9.23,33.42,223.99,45.97,2.00,33,674.2
2,7,VK12mtp,vk,640,3,320,0.22,40.0,2.6,17.5,19.9,13124,640,12.08,9.39,32.41,184.68,46.12,2.00,33,674.5
2,8,HIP12mtp,hip,12,3,320,0.18,46.5,30.9,15.6,NA,12160,565,12.00,9.93,33.29,227.37,45.77,2.00,33,674.2
2,9,VK12mtp,vk,640,3,320,0.20,40.1,2.6,17.5,19.9,13124,640,12.08,9.68,32.33,200.63,45.74,2.00,33,674.5
2,10,HIP12mtp,hip,12,3,320,0.17,46.4,30.8,15.7,NA,12160,565,12.00,9.33,33.60,231.96,45.66,2.00,33,674.2
2,11,VK12mtp,vk,640,3,320,0.18,40.1,2.6,17.5,19.9,13124,640,12.08,9.60,32.31,219.80,45.83,2.00,33,674.5
2,12,HIP12mtp,hip,12,3,320,0.22,46.7,31.2,15.5,NA,12160,565,12.00,9.52,33.57,183.83,47.05,2.00,33,674.2
2,13,VK12mtp,vk,640,3,320,0.24,40.4,3.0,17.4,19.9,13124,640,12.08,9.70,73.62,165.03,40.80,2.00,33,674.5
2,14,HIP12mtp,hip,12,3,320,0.22,46.7,31.2,15.6,NA,12160,565,12.00,9.46,33.40,181.31,46.95,2.00,33,674.2
2,15,VK12mtp,vk,640,3,320,0.24,40.4,3.0,17.4,19.9,13124,640,12.08,9.72,81.58,164.57,41.17,2.00,33,674.5
2,16,HIP12mtp,hip,12,3,320,0.22,46.7,31.2,15.6,NA,12160,565,12.00,9.52,33.51,183.90,46.97,2.00,33,674.2
2,17,VK12mtp,vk,640,3,320,0.23,40.3,3.0,17.4,19.9,13124,640,12.08,9.61,78.29,171.09,41.07,2.00,33,674.5
2,18,HIP12mtp,hip,12,3,320,0.22,46.7,31.2,15.5,NA,12160,565,12.00,9.50,32.82,184.31,47.03,2.00,33,674.2
2,19,VK12mtp,vk,640,3,320,0.24,40.3,2.9,17.4,19.9,13124,640,12.08,9.67,73.07,170.17,41.53,2.00,33,674.5
2,20,HIP12mtp,hip,12,3,320,0.22,46.7,31.2,15.6,NA,12160,565,12.00,9.57,33.16,180.39,46.95,2.00,33,674.2
3,1,VK12tiny,vk,640,0,16,0.39,55.2,3.4,18.7,33.0,13124,640,12.08,9.77,49.14,103.67,41.84,1.03,0,330.1
3,2,HIP12tiny,hip,12,0,16,0.34,60.3,45.2,15.0,NA,12160,565,12.00,9.64,31.70,118.16,43.48,1.03,0,330.1
