run,arm,backend,budget,tok_s,hit_total,pin,lru,vk,vram_peak_mb,experts_resident,tier_gb,tier_load_s,model_load_s,prefill_s,decode_s,rss_gb,gpu_calls
1,VK6,vk,320,0.24,39.0,9.0,16.8,13.2,6724,320,6.04,1.9,9.57,32.92,164.73,46.09,NA
2,HIP6,hip,6,0.32,57.3,40.0,17.3,NA,6215,282,5.99,NA,9.49,33.38,124.77,42.79,3019
3,VK12,vk,640,0.25,39.5,1.9,17.7,19.9,13124,640,12.08,3.8,9.61,32.46,161.63,45.74,NA
4,HIP12,hip,12,0.33,59.9,44.6,15.3,NA,12160,565,12.00,NA,9.48,32.11,120.32,42.77,4107
5,VK6,vk,320,0.24,38.8,8.7,16.9,13.2,6724,320,6.04,1.9,9.63,32.87,168.85,45.91,NA
6,HIP6,hip,6,0.32,57.3,40.0,17.3,NA,6215,282,5.99,NA,9.49,33.33,125.00,42.75,3019
7,VK12,vk,640,0.25,39.6,1.9,17.7,19.9,13124,640,12.08,3.7,9.59,32.96,161.56,45.78,NA
8,HIP12,hip,12,0.33,59.9,44.6,15.3,NA,12160,565,12.00,NA,9.45,32.60,119.89,42.77,4107
9,VK6,vk,320,0.24,38.9,8.9,16.9,13.2,6724,320,6.04,1.9,9.66,32.52,165.65,46.03,NA
10,HIP6,hip,6,0.32,57.3,40.0,17.3,NA,6215,282,5.99,NA,9.46,33.17,125.20,42.71,3019
11,VK12,vk,640,0.25,39.7,2.1,17.7,19.9,13124,640,12.08,3.7,9.62,32.33,160.88,46.00,NA
12,HIP12,hip,12,0.34,59.9,44.6,15.3,NA,12160,565,12.00,NA,9.47,32.60,119.12,42.77,4107
13,VK6,vk,320,0.24,38.9,8.8,16.9,13.2,6724,320,6.04,1.9,9.73,32.46,165.04,45.99,NA
14,HIP6,hip,6,0.32,57.3,40.0,17.3,NA,6215,282,5.99,NA,9.47,33.18,125.69,42.75,3019
15,VK12,vk,640,0.25,39.6,1.9,17.7,19.9,13124,640,12.08,3.7,9.61,32.41,161.65,45.82,NA
16,HIP12,hip,12,0.33,59.9,44.6,15.3,NA,12160,565,12.00,NA,9.50,32.56,120.02,42.77,4107
17,VK6,vk,320,0.24,38.8,8.7,16.9,13.2,6724,320,6.04,1.9,9.60,33.05,165.87,45.91,NA
18,HIP6,hip,6,0.32,57.3,40.0,17.3,NA,6215,282,5.99,NA,9.52,33.28,126.77,42.77,3019
19,VK12,vk,640,0.25,39.6,2.0,17.7,19.9,13124,640,12.08,3.7,9.66,32.42,161.46,45.90,NA
20,HIP12,hip,12,0.33,59.9,44.6,15.3,NA,12160,565,12.00,NA,9.48,32.76,119.53,42.75,4107
21,VK6,vk,320,0.24,38.9,8.8,16.9,13.2,6724,320,6.04,1.9,9.97,32.32,165.54,45.96,NA
22,HIP6,hip,6,0.32,57.3,40.0,17.3,NA,6215,282,5.99,NA,9.49,33.29,125.01,42.76,3019
23,VK12,vk,640,0.25,39.7,2.1,17.7,19.9,13124,640,12.08,3.7,9.64,32.31,161.85,45.92,NA
24,HIP12,hip,12,0.33,59.9,44.6,15.3,NA,12160,565,12.00,NA,9.50,32.16,121.29,42.75,4107
25,VK6,vk,320,0.24,38.8,8.8,16.9,13.2,6724,320,6.04,1.9,9.59,32.36,166.54,45.95,NA
26,HIP6,hip,6,0.32,57.3,40.0,17.3,NA,6215,282,5.99,NA,9.48,33.67,125.85,42.77,3019
27,VK12,vk,640,0.25,39.6,2.0,17.7,19.9,13124,640,12.08,3.7,9.59,32.48,162.14,45.90,NA
28,HIP12,hip,12,0.33,59.8,44.5,15.4,NA,12160,565,12.00,NA,9.49,33.17,120.94,42.71,4107
29,VK6,vk,320,0.24,38.8,8.7,16.9,13.2,6724,320,6.04,1.9,9.62,32.66,165.39,45.91,NA
30,HIP6,hip,6,0.32,57.3,40.0,17.3,NA,6215,282,5.99,NA,9.69,34.05,126.10,42.75,3019
31,VK12,vk,640,0.25,39.6,1.9,17.7,19.9,13124,640,12.08,3.7,9.63,32.37,161.50,45.84,NA
32,HIP12,hip,12,0.34,59.9,44.6,15.3,NA,12199,565,12.00,NA,9.47,32.63,119.18,42.75,4107
33,VK6,vk,320,0.24,38.8,8.7,16.9,13.2,6724,320,6.04,1.9,9.56,32.64,165.78,45.91,NA
34,HIP6,hip,6,0.32,57.3,40.0,17.3,NA,6215,282,5.99,NA,9.48,32.71,124.70,42.77,3019
35,VK12,vk,640,0.25,39.6,2.0,17.7,19.9,13124,640,12.08,3.7,9.62,32.28,162.50,45.92,NA
36,HIP12,hip,12,0.33,59.9,44.6,15.3,NA,12160,565,12.00,NA,9.45,32.56,120.17,42.77,4107
37,VK6,vk,320,0.24,38.7,8.6,16.9,13.2,6724,320,6.04,1.9,9.62,32.81,166.10,45.76,NA
38,HIP6,hip,6,0.32,57.3,40.0,17.3,NA,6215,282,5.99,NA,9.46,34.09,125.63,42.75,3019
39,VK12,vk,640,0.25,39.7,2.1,17.7,19.9,13124,640,12.08,3.7,9.62,32.40,161.02,45.92,NA
40,HIP12,hip,12,0.33,59.9,44.6,15.3,NA,12160,565,12.00,NA,9.46,32.30,120.34,42.77,4107
101,HIP12def,hip,12,0.31,54.8,35.5,19.3,NA,12173,565,12.00,NA,9.50,34.21,130.33,42.79,4107
102,HIP12def,hip,12,0.31,54.7,35.4,19.4,NA,12173,565,12.00,NA,9.49,34.55,128.38,42.69,4107
103,HIP12def,hip,12,0.24,54.6,35.2,19.4,NA,12173,565,12.00,NA,9.47,50.35,168.10,42.57,4107
104,HIP12def,hip,12,0.30,54.6,35.2,19.4,NA,12173,565,12.00,NA,9.72,35.23,131.52,42.57,4107
105,HIP12def,hip,12,0.30,54.6,35.2,19.4,NA,12173,565,12.00,NA,9.55,33.31,131.22,42.57,4107
106,HIP12def,hip,12,0.31,54.7,35.3,19.4,NA,12173,565,12.00,NA,9.55,33.78,130.35,42.67,4107
107,HIP12def,hip,12,0.30,54.6,35.2,19.4,NA,12173,565,12.00,NA,9.53,33.42,132.10,42.51,4107
108,HIP12def,hip,12,0.31,54.7,35.3,19.4,NA,12173,565,12.00,NA,9.48,33.92,131.13,42.67,4107
109,HIP12def,hip,12,0.31,54.7,35.3,19.4,NA,12173,565,12.00,NA,9.55,33.99,130.24,42.63,4107
110,HIP12def,hip,12,0.31,54.7,35.3,19.4,NA,12173,565,12.00,NA,9.49,34.07,131.11,42.63,4107
