run,arm,vk_experts,tok_s,hit_total,pin,lru,vk,vram_peak_mb,experts_resident,tier_gb,tier_load_s,model_load_s,prefill_s,decode_s,rss_gb,edisk_service_s,edisk_wait_s,ematmul_s
1,uringd,320,0.52,55.8,11.3,15.7,28.8,6724,320,6.04,1.9,9.78,33.09,77.17,40.81,0.000,26.424,43.575
2,direct,320,0.47,55.8,11.2,15.7,28.8,6724,320,6.04,1.9,9.82,30.58,85.63,40.75,108.134,39.696,15.657
3,pipedir,320,0.49,56.6,11.3,16.5,28.8,6724,320,6.04,1.9,9.65,36.02,80.95,42.28,100.618,32.457,46.403
4,uringd4,320,0.52,56.6,11.3,16.5,28.8,6724,320,6.04,1.9,9.68,37.15,77.43,42.27,0.000,26.194,44.011
5,uringd16,320,0.51,55.8,11.2,15.7,28.8,6724,320,6.04,1.9,9.77,32.58,79.16,40.77,0.000,26.166,43.955
6,uringd,320,0.46,56.6,11.3,16.5,28.8,6724,320,6.04,1.9,9.80,37.06,87.42,42.27,0.000,25.410,47.414
7,direct,320,0.48,55.8,11.2,15.7,28.8,6724,320,6.04,1.9,9.62,30.31,83.00,40.79,107.953,39.432,14.681
8,pipedir,320,0.50,55.8,11.2,15.7,28.8,6724,320,6.04,1.9,9.75,33.74,80.20,40.79,100.427,32.624,46.011
9,uringd4,320,0.53,55.8,11.2,15.7,28.8,6724,320,6.04,1.9,9.93,34.24,75.43,40.73,0.000,26.822,43.367
10,uringd16,320,0.53,55.8,11.2,15.7,28.8,6724,320,6.04,1.9,9.81,33.50,75.75,40.75,0.000,26.220,43.007
11,uringd,320,0.49,55.8,11.2,15.7,28.8,6724,320,6.04,1.9,9.73,33.93,81.45,40.77,0.000,25.824,45.092
12,direct,320,0.48,55.8,11.2,15.7,28.8,6724,320,6.04,1.9,9.74,30.27,83.99,40.75,108.455,39.580,15.066
13,pipedir,320,0.48,55.8,11.2,15.7,28.8,6724,320,6.04,1.9,9.70,33.81,83.32,40.77,101.010,32.813,47.191
14,uringd4,320,0.52,55.8,11.2,15.7,28.8,6724,320,6.04,1.9,9.78,34.11,77.54,40.75,0.000,26.463,43.872
15,uringd16,320,0.52,55.8,11.2,15.7,28.8,6724,320,6.04,1.9,9.81,32.35,76.53,40.77,0.000,26.588,43.234
