run,arm,vk_experts,tok_s,hit_total,pin,lru,vk,vram_peak_mb,experts_resident,tier_gb,tier_load_s,model_load_s,prefill_s,decode_s,rss_gb,edisk_service_s,edisk_wait_s,ematmul_s
1,base,320,0.36,55.0,10.6,16.7,27.6,6724,320,6.04,2.5,10.02,35.84,111.53,40.35,154.150,57.409,18.967
2,pipe,320,0.32,55.0,10.6,16.8,27.6,6724,320,6.04,2.5,9.75,47.40,125.73,40.27,207.611,63.936,75.806
3,uring,320,0.31,55.0,10.6,16.7,27.6,6724,320,6.04,2.5,9.73,47.49,128.27,40.35,0.000,60.918,81.987
4,uringd,320,0.51,55.0,10.6,16.7,27.6,6724,320,6.04,2.5,9.98,35.19,78.24,40.29,0.000,27.411,44.837
5,pilot,320,0.21,65.0,10.5,26.9,27.6,6724,320,6.04,2.5,9.77,48.29,190.80,40.19,492.257,88.556,111.096
6,all,320,0.47,65.4,11.0,26.7,27.6,6724,320,6.04,2.5,9.68,34.58,84.90,40.75,0.000,23.170,46.352
7,base,320,0.28,56.1,11.1,17.4,27.6,6724,320,6.04,2.5,9.91,47.48,144.20,41.65,202.132,81.933,22.222
8,pipe,320,0.33,56.1,11.2,17.3,27.6,6724,320,6.04,1.9,9.71,48.31,121.86,42.41,199.839,61.439,73.641
9,uring,320,0.32,56.1,11.1,17.4,27.6,6724,320,6.04,1.9,9.91,47.90,124.90,42.27,0.000,57.978,79.284
10,uringd,320,0.50,55.3,11.1,16.6,27.6,6724,320,6.04,1.9,9.78,33.18,80.56,40.79,0.000,25.855,44.830
11,pilot,320,0.28,66.2,11.1,27.5,27.6,6724,320,6.04,1.9,9.85,47.32,144.15,42.33,316.140,66.090,87.432
12,all,320,0.46,66.2,11.1,27.5,27.6,6724,320,6.04,1.9,9.73,34.31,86.50,42.27,0.000,22.103,47.227
13,base,320,0.36,56.1,11.1,17.4,27.6,6724,320,6.04,1.9,9.79,33.95,112.22,42.29,147.670,55.925,19.104
14,pipe,320,0.32,56.1,11.1,17.4,27.6,6724,320,6.04,1.9,9.74,47.10,123.14,42.31,199.457,61.561,73.484
15,uring,320,0.31,55.1,10.9,16.6,27.6,6724,320,6.04,1.9,9.71,46.33,127.02,40.67,0.000,59.347,81.153
16,uringd,320,0.49,56.1,11.1,17.4,27.6,6724,320,6.04,1.9,9.76,35.15,82.13,42.29,0.000,26.075,45.879
17,pilot,320,0.28,65.4,11.1,26.7,27.6,6724,320,6.04,1.9,9.91,46.92,145.12,40.79,320.195,68.715,89.381
18,all,320,0.47,66.3,11.1,27.5,27.6,6724,320,6.04,1.9,9.88,33.84,84.68,42.25,0.000,22.299,46.360
