run,tok_s,hit_total,pin,lru,vk,usage_selections,usage_bytes,pin_ram_experts,experts_resident,prompt_tok,prefill_s,decode_s,rss_gb,edisk_wait_s,read_gb,wall_s
1,0.31,43.4,0.0,43.4,NA,0,130502,0,NA,243,251.58,129.84,40.95,35.645,442.80,393
2,0.35,45.6,1.8,25.5,18.3,102420,134660,376,320,243,240.75,114.22,40.97,32.157,435.18,373
3,0.30,46.2,10.5,17.4,18.3,204840,136136,737,320,243,236.91,135.13,40.69,43.026,435.74,393
4,0.39,46.3,10.6,17.3,18.3,307260,138041,751,320,243,223.23,102.95,40.97,31.812,432.19,347
5,0.36,46.2,10.5,17.4,18.3,409680,140567,742,320,243,220.16,111.39,40.79,30.637,431.33,351
6,0.34,46.2,10.5,17.4,18.3,512100,140812,741,320,243,229.72,117.76,40.77,30.834,430.53,368
7,0.37,46.3,10.6,17.3,18.3,614520,141088,748,320,243,215.11,107.87,40.91,31.511,430.72,344
8,0.39,46.3,10.6,17.3,18.3,716940,141526,749,320,243,220.56,103.46,40.93,30.870,430.73,344
9,0.39,46.3,10.6,17.3,18.3,819360,141815,750,320,243,219.24,103.49,40.95,31.131,429.72,343
10,0.31,46.3,10.6,17.3,18.3,921780,145590,746,320,243,228.17,128.60,40.87,27.663,430.88,377
11,0.39,46.3,10.6,17.3,18.3,1024200,145603,747,320,243,243.79,102.34,40.89,31.524,431.04,367
12,0.39,46.3,10.6,17.3,18.3,1126620,146134,746,320,243,230.76,103.74,40.87,30.329,429.62,355
13,0.39,46.4,10.8,17.3,18.3,1229040,146789,758,320,243,213.90,102.28,41.11,30.874,430.02,338
14,0.35,46.3,10.7,17.3,18.3,1331460,146796,755,320,243,214.53,112.98,41.05,28.796,429.18,348
15,0.38,46.3,10.7,17.3,18.3,1433880,147607,754,320,243,213.16,104.47,41.03,30.036,428.57,338
16,0.40,46.3,10.7,17.3,18.3,1536300,147617,754,320,243,220.53,100.73,41.03,29.822,429.22,341
17,0.42,46.3,10.7,17.3,18.3,1638720,148550,755,320,243,217.34,95.88,41.05,30.471,428.92,334
18,0.39,46.3,10.7,17.3,18.3,1741140,148560,755,320,243,218.21,102.63,41.05,29.462,429.32,341
19,0.40,46.3,10.6,17.3,18.3,1843560,148572,751,320,243,219.62,99.00,40.97,29.989,429.64,339
20,0.41,46.3,10.6,17.3,18.3,1945980,149748,751,320,243,221.09,98.24,40.97,30.068,428.60,339
21,0.39,46.3,10.6,17.3,18.3,2048400,149762,750,320,243,217.82,103.44,40.95,29.849,428.23,342
22,0.40,46.3,10.6,17.3,18.3,2150820,149778,748,320,243,218.34,99.43,40.91,30.310,428.10,338
23,0.39,46.3,10.6,17.3,18.3,2253240,149788,753,320,243,216.23,101.43,41.01,29.142,428.73,338
24,0.30,46.3,10.6,17.3,18.3,2355660,149802,753,320,243,213.29,132.23,41.01,42.464,431.47,367
25,0.28,46.4,10.9,17.2,18.3,2458080,151166,763,320,243,216.83,140.42,41.21,46.023,430.59,379
26,0.41,46.5,10.9,17.2,18.3,2560500,151175,767,320,243,220.68,96.50,41.29,29.689,427.91,338
27,0.37,46.4,10.8,17.3,18.3,2662920,151184,758,320,243,219.92,108.00,41.11,28.195,428.27,349
28,0.42,46.3,10.7,17.3,18.3,2765340,151201,755,320,243,211.44,95.20,41.05,30.382,429.04,326
29,0.41,46.4,10.9,17.2,18.3,2867760,151209,764,320,243,212.66,97.04,41.23,29.505,427.31,330
30,0.43,46.4,10.9,17.2,18.3,2970180,151224,765,320,243,214.45,94.08,41.25,30.382,427.76,329
