run,arm,mmap,tok_s,hit_total,pin,lru,vk,vram_peak_mb,experts_resident,tier_gb,tier_load_s,model_load_s,prefill_s,decode_s,rss_gb,ereq_tok
1,slab,0,0.36,55.2,3.4,18.8,33.0,13124,640,12.08,12.9,10.08,57.47,110.82,42.04,330.1
2,mmap,1,0.32,55.2,3.5,18.7,33.0,13124,640,12.08,4.9,10.04,55.78,126.36,44.63,330.1
3,slab,0,0.37,55.2,3.5,18.7,33.0,13124,640,12.08,4.5,10.12,72.95,107.45,41.26,330.1
4,mmap,1,0.30,55.2,3.5,18.7,33.0,13124,640,12.08,4.9,9.65,54.05,133.46,44.30,330.1
5,slab,0,0.34,55.2,3.5,18.7,33.0,13124,640,12.08,4.5,10.45,73.91,117.58,42.65,330.1
6,mmap,1,0.25,55.2,3.4,18.8,33.0,13124,640,12.08,4.9,10.12,62.14,160.67,44.17,330.1
7,slab,0,0.27,55.2,3.4,18.8,33.0,13124,640,12.08,4.5,11.13,82.38,148.57,41.00,330.1
8,mmap,1,0.28,55.2,3.4,18.8,33.0,13124,640,12.08,4.9,10.72,60.38,143.72,41.71,330.1
9,slab,0,0.35,55.2,3.4,18.8,33.0,13124,640,12.08,4.5,10.81,88.86,113.25,38.90,330.1
10,mmap,1,0.28,55.2,3.4,18.8,33.0,13124,640,12.08,4.9,9.86,57.05,143.34,41.99,330.1
11,slab,0,0.34,55.2,3.4,18.7,33.0,13124,640,12.08,4.5,10.92,77.33,119.15,40.64,330.1
12,mmap,1,0.27,55.2,3.3,18.8,33.0,13124,640,12.08,4.9,9.85,55.16,148.29,42.39,330.1
13,slab,0,0.34,55.2,3.4,18.7,33.0,13124,640,12.08,4.5,11.28,74.34,118.69,40.31,330.1
14,mmap,1,0.27,55.2,3.4,18.8,33.0,13124,640,12.08,4.9,9.79,55.67,149.99,42.25,330.1
15,slab,0,0.34,55.2,3.4,18.7,33.0,13124,640,12.08,4.5,11.12,75.83,116.05,40.43,330.1
16,mmap,1,0.30,55.1,3.2,18.9,33.0,13124,640,12.08,4.1,9.82,49.40,134.31,44.75,330.1
17,slab,0,0.40,55.2,3.5,18.7,33.0,13124,640,12.08,3.8,10.79,32.63,100.24,43.31,330.1
18,mmap,1,0.29,55.2,3.5,18.7,33.0,13124,640,12.08,4.2,10.02,50.57,136.39,46.14,330.1
19,slab,0,0.41,55.2,3.5,18.7,33.0,13124,640,12.08,3.7,10.53,44.65,97.11,38.28,330.1
20,mmap,1,0.31,55.2,3.5,18.7,33.0,13124,640,12.08,4.1,10.14,56.60,127.83,44.42,330.1
