run,cfg,vk_experts,tok_s,hit_total,pin,lru,vk,vram_peak_mb,experts_resident,tier_gb,tier_load_s,model_load_s,prefill_s,decode_s,rss_gb
1,A,320,0.24,38.9,8.9,16.8,13.2,6724,320,6.04,1.9,9.73,33.32,165.47,46.03
2,B,640,0.25,39.9,2.3,17.6,19.9,13124,640,12.08,3.7,9.57,32.63,162.58,46.07
2,A,320,0.24,39.0,9.1,16.8,13.2,6724,320,6.04,1.9,9.56,33.44,166.29,46.13
2,B,640,0.25,39.9,2.3,17.6,19.9,13124,640,12.08,3.7,9.60,32.41,162.27,46.07
2,A,320,0.24,39.0,9.1,16.8,13.2,6724,320,6.04,1.9,9.52,32.61,167.61,46.11
2,B,640,0.25,39.9,2.3,17.6,19.9,13124,640,12.08,3.7,9.64,32.83,162.48,46.07
2,A,320,0.24,39.0,9.0,16.8,13.2,6724,320,6.04,1.9,9.57,32.53,165.61,46.09
2,B,640,0.25,39.7,2.1,17.7,19.9,13124,640,12.08,3.8,9.74,32.84,161.05,45.97
2,A,320,0.24,39.0,9.1,16.8,13.2,6724,320,6.04,1.9,9.57,32.63,164.96,46.11
2,B,640,0.25,39.8,2.3,17.6,19.9,13124,640,12.08,3.7,9.52,32.25,161.04,46.05
2,A,320,0.24,39.0,9.1,16.8,13.2,6724,320,6.04,1.9,9.58,32.75,165.52,46.11
2,B,640,0.25,39.9,2.3,17.6,19.9,13124,640,12.08,3.7,9.61,32.56,161.53,46.07
2,A,320,0.24,39.0,9.1,16.8,13.2,6724,320,6.04,1.9,9.54,32.57,165.11,46.13
2,B,640,0.25,39.9,2.3,17.6,19.9,13124,640,12.08,3.7,9.58,32.38,162.39,46.07
2,A,320,0.24,39.0,9.0,16.8,13.2,6724,320,6.04,1.9,9.59,32.37,165.13,46.09
2,B,640,0.25,39.8,2.3,17.6,19.9,13124,640,12.08,3.7,9.62,31.99,161.85,46.05
2,A,320,0.24,38.9,8.9,16.8,13.2,6724,320,6.04,1.9,9.64,32.26,165.73,46.03
2,B,640,0.25,39.9,2.3,17.6,19.9,13124,640,12.08,3.7,9.43,32.26,160.81,46.07
2,A,320,0.24,39.0,9.1,16.8,13.2,6724,320,6.04,1.9,9.62,32.15,164.89,46.11
2,B,640,0.25,39.9,2.3,17.6,19.9,13124,640,12.08,3.7,9.61,32.32,160.68,46.07
